WEEK,price,City
1,372.75761968338736,Austin
2,364.9104585070102,Austin
3,363.3522133938706,Austin
4,363.4452344931921,Austin
5,363.6652836451418,Austin
6,367.31435834232013,Austin
7,376.87771369061926,Austin
8,373.5936235831297,Austin
9,379.36143515734614,Austin
10,471.33508673305494,Austin
11,531.5583296420086,Austin
12,399.468095352757,Austin
13,379.55026199113263,Austin
14,409.07308363751787,Austin
15,408.7141838634293,Austin
16,409.3068609208599,Austin
17,408.31020844045406,Austin
18,408.2671327566457,Austin
19,408.3868281903559,Austin
20,353.3670081538783,Austin
21,316.18095656310607,Austin
22,298.1648310387985,Austin
23,291.4516614975631,Austin
24,290.2077169132347,Austin
25,282.44261752372546,Austin
26,287.0228753020275,Austin
27,297.7570656854302,Austin
28,283.46702988950557,Austin
29,281.9856456911802,Austin
30,282.966670827612,Austin
31,287.7741090685016,Austin
32,282.4965825834686,Austin
33,311.23568302164,Austin
34,310.93023255813955,Austin
35,317.2739090350338,Austin
36,316.9510149507718,Austin
37,314.40337781095457,Austin
38,319.17848921084135,Austin
39,321.34241518184035,Austin
40,388.37172532415985,Austin
41,403.8008714876165,Austin
42,386.59905842899525,Austin
43,344.38207157920476,Austin
44,334.7352251548127,Austin
45,336.3465186429082,Austin
46,366.3768624697714,Austin
47,373.95993471418024,Austin
48,366.2914962574273,Austin
49,365.28010208027223,Austin
50,365.6623140815144,Austin
51,373.00116387337056,Austin
52,385.9906985794902,Austin
