WEEK,price,City
1,313.04712424306683,Austin
2,310.98620437784217,Austin
3,313.07999340260596,Austin
4,312.1413609481398,Austin
5,313.1210386183172,Austin
6,312.57975778139064,Austin
7,319.0663273721166,Austin
8,314.55393369619003,Austin
9,315.73023727056386,Austin
10,343.8550016493485,Austin
11,340.73345350015313,Austin
12,281.6972385193563,Austin
13,277.41727339129613,Austin
14,277.04642916048164,Austin
15,280.4703352889894,Austin
16,277.4655875215004,Austin
17,279.1656652765015,Austin
18,277.3336632030348,Austin
19,276.60116396880375,Austin
20,277.90609316462854,Austin
21,283.5443085695436,Austin
22,277.66254329539834,Austin
23,276.2963525835866,Austin
24,276.2232393204684,Austin
25,276.57557550481846,Austin
26,276.4591197191395,Austin
27,283.5234207488042,Austin
28,279.2000541928795,Austin
29,280.0090596357296,Austin
30,281.48436653236257,Austin
31,283.4355458165453,Austin
32,283.9527932895078,Austin
33,284.74350274498715,Austin
34,285.35438608892343,Austin
35,290.62506774109943,Austin
36,301.81885440965107,Austin
37,301.21135223015483,Austin
38,302.2462830753281,Austin
39,304.4860276619307,Austin
40,320.9616055229613,Austin
41,325.0940953323437,Austin
42,309.96449188284913,Austin
43,307.08014655639596,Austin
44,317.09922009377726,Austin
45,306.01622252067574,Austin
46,303.8650479489173,Austin
47,304.1999128201503,Austin
48,306.72308616667846,Austin
49,302.53811173158033,Austin
50,302.23724700172005,Austin
51,305.71310760820904,Austin
52,314.02244292076057,Austin
