WEEK,price,City
1,220.9895787397006,Boston
2,225.85758384588604,Boston
3,225.74048972960426,Boston
4,225.4005338284786,Boston
5,226.461970523384,Boston
6,210.93763200649877,Boston
7,142.97221770917952,Boston
8,143.62081931066496,Boston
9,153.2224904259023,Boston
10,168.7258674712777,Boston
11,180.80018567947081,Boston
12,174.0213763490774,Boston
13,189.96279447603575,Boston
14,192.50363235464778,Boston
15,232.39387257746316,Boston
16,215.48889404665198,Boston
17,196.5916444238134,Boston
18,213.4907508413601,Boston
19,225.72902402228155,Boston
20,251.28397354067542,Boston
21,245.9944760357433,Boston
22,230.813299292097,Boston
23,241.79997679006615,Boston
24,222.6123012649414,Boston
25,227.52684228849947,Boston
26,227.16975745619126,Boston
27,232.75360334223046,Boston
28,238.82269931530695,Boston
29,238.65605199025183,Boston
30,240.78386909597307,Boston
31,238.62360450272718,Boston
32,234.29759777184634,Boston
33,232.59853777416734,Boston
34,233.418939306023,Boston
35,232.4818614366949,Boston
36,231.87761401880005,Boston
37,230.94378554021122,Boston
38,230.36834165022628,Boston
39,235.68007427178833,Boston
40,232.06206336311942,Boston
41,232.84985493791342,Boston
42,237.0242079610073,Boston
43,232.05767668562146,Boston
44,217.29671579435998,Boston
45,206.6953696181966,Boston
46,203.95973076476733,Boston
47,200.31047928513405,Boston
48,198.64918184983173,Boston
49,190.46930486248115,Boston
50,186.80257630265754,Boston
51,188.66285250087037,Boston
52,194.92426598584194,Boston
