Day,Detail,Moonphase,Summary,Sunrise,Sunset,cloudCover,dewPoint,humidity,precipIntensity,precipIntensityMax,precipProbability,pressure,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,visibility,windGust,windGustTime,windSpeed
1493985600,rain,0.34,Rain in the morning.,1493988372,1494041298,0.84,49.36,0.81,0.0085,0.0881,0.79,1012,59.9,1493967600,48.07,1494050400,9.95,12.78,1494018000,2.63
1494072000,partly-cloudy-day,0.37,Mostly cloudy until evening.,1494074682,1494127781,0.66,40.25,0.71,0.0018,0.0131,0.44,1020.59,57.47,1494111600,43.08,1494075600,10,8.62,1494122400,0.75
1494158400,partly-cloudy-day,0.41,Mostly cloudy until afternoon.,1494160995,1494214263,0.36,40.29,0.67,0,0,0,1023.67,61.35,1494201600,43.47,1494154800,10,8.89,1494201600,1.27
1494244800,partly-cloudy-day,0.44,Mostly cloudy throughout the day.,1494247309,1494300744,0.47,41.91,0.67,0,0,0,1022.11,64.5,1494284400,45,1494244800,10,9.28,1494288000,1.22
1494331200,partly-cloudy-day,0.47,"Partly cloudy starting in the afternoon, continuing until evening.",1494333624,1494387225,0.11,45.14,0.67,0,0,0,1017.47,69.11,1494374400,44.94,1494334800,10,7.36,1494363600,1.18
1494417600,partly-cloudy-day,0.51,Mostly cloudy throughout the day.,1494419941,1494473706,0.42,48.28,0.68,0,0,0,1012.54,71.39,1494460800,50.28,1494421200,10,7.68,1494460800,0.81
1494504000,rain,0.53,Rain in the afternoon.,1494506260,1494560186,0.94,48.49,0.84,0.0096,0.061,1,1013.01,59.58,1494522000,46.74,1494568800,9.9,14.26,1494532800,1.77
1494590400,partly-cloudy-day,0.56,Mostly cloudy throughout the day.,1494592581,1494646665,0.8,42.96,0.81,0.0029,0.0165,0.79,1015.28,53.79,1494630000,44.03,1494594000,9.95,9.29,1494612000,1.53
1494676800,partly-cloudy-day,0.59,Mostly cloudy throughout the day.,1494678903,1494733144,0.89,43.41,0.8,0.0024,0.0107,0.76,1014.48,57.14,1494716400,45.37,1494680400,9.98,11.32,1494734400,2.2
1494763200,partly-cloudy-day,0.62,Mostly cloudy throughout the day.,1494765227,1494819622,0.91,44.94,0.81,0.0014,0.0079,0.4,1015.84,57.04,1494799200,46.9,1494766800,8.04,9.78,1494799200,2.43
1494849600,rain,0.65,Light rain starting in the afternoon.,1494851553,1494906099,0.93,44.35,0.84,0.0096,0.0399,1,1013.77,52.55,1494874800,46.65,1494914400,4.98,9.03,1494871200,1.96
1494936000,rain,0.68,Rain in the morning.,1494937881,1494992576,0.96,43.01,0.85,0.013,0.0558,0.99,1005.92,52.62,1494975600,43.48,1494950400,5.03,8.89,1494932400,1.06
1495022400,cloudy,0.71,Overcast throughout the day.,1495024211,1495079051,1,45.97,0.81,0.0003,0.0058,0.42,1019.46,57.49,1495069200,45.79,1495015200,8.78,4.72,1495051200,0.76
1495108800,partly-cloudy-day,0.75,Mostly cloudy throughout the day.,1495110542,1495165526,0.84,46.98,0.72,0,0,0,1021.48,64.07,1495152000,48.74,1495108800,9.25,4.99,1495141200,0.31
1495195200,partly-cloudy-day,0.78,Mostly cloudy throughout the day.,1495196876,1495252000,0.7,48.9,0.69,0,0,0,1019.93,71.3,1495234800,48.97,1495198800,8.96,6.96,1495245600,0.87
1495281600,partly-cloudy-day,0.81,Mostly cloudy until afternoon.,1495283212,1495338472,0.47,50.23,0.67,0,0,0,1021.67,71.65,1495324800,53.54,1495285200,7.81,9.67,1495324800,1.46
1495368000,clear-day,0.85,Clear throughout the day.,1495369549,1495424944,0.06,51.8,0.67,0,0,0,1023.06,76.15,1495411200,50.68,1495371600,10,9.7,1495400400,1.56
1495454400,clear-day,0.89,Clear throughout the day.,1495455889,1495511414,0.01,52.81,0.61,0,0,0,1020.09,81.41,1495494000,53.98,1495458000,10,9.19,1495497600,1.26
1495540800,partly-cloudy-night,0.92,Mostly cloudy starting in the evening.,1495542231,1495597883,0.2,51.34,0.64,0,0,0,1015.99,77.21,1495576800,54.19,1495605600,8.71,12.71,1495584000,0.83
1495627200,partly-cloudy-day,0.96,Mostly cloudy until evening.,1495628575,1495684351,0.72,42.25,0.63,0,0,0,1016.43,61.12,1495674000,47.34,1495630800,9.6,9.36,1495609200,0.1
1495713600,partly-cloudy-day,0.01,Partly cloudy until afternoon.,1495714922,1495770818,0.14,46.89,0.69,0,0,0,1012.38,68.92,1495756800,45.75,1495713600,10,8.84,1495746000,1.02
1495800000,clear-day,0.04,Clear throughout the day.,1495801270,1495857283,0.02,49.55,0.61,0,0,0,1014.34,78.81,1495843200,49.78,1495803600,10,8.8,1495836000,1.06
1495886400,clear-day,0.08,Clear throughout the day.,1495887621,1495943747,0,50.51,0.55,0,0,0,1017.9,83.67,1495929600,52.9,1495890000,9.26,7.88,1495922400,0.94
1495972800,clear-day,0.11,Clear throughout the day.,1495973974,1496030210,0,52.08,0.57,0,0,0,1018.05,83.66,1496016000,55.27,1495976400,8.84,7.8,1496012400,1.19
1496059200,partly-cloudy-day,0.15,Mostly cloudy until afternoon.,1496060329,1496116670,0.37,53.1,0.74,0,0,0,1016.5,74.59,1496102400,52.67,1496062800,9.84,6.11,1496088000,1.07
1496145600,cloudy,0.19,Overcast throughout the day.,1496146687,1496203130,0.94,50.69,0.84,0.0003,0.0061,0.36,1015.21,57.9,1496188800,53.4,1496149200,10,5.61,1496178000,1.34
1496232000,rain,0.22,Light rain overnight.,1496233047,1496289587,0.84,51.38,0.73,0.0008,0.0157,0.91,1012.47,71.56,1496271600,52.72,1496235600,7.9,7.46,1496264400,1.24
1496318400,partly-cloudy-day,0.26,Mostly cloudy throughout the day.,1496319409,1496376043,0.9,53.57,0.78,0.0022,0.0161,0.89,1013.35,66.14,1496354400,57.37,1496304000,6.43,11.78,1496358000,2.11
1496404800,partly-cloudy-day,0.29,Mostly cloudy until evening.,1496405774,1496462497,0.62,50.58,0.66,0,0,0,1017.54,72.2,1496448000,55.21,1496404800,5.45,8.14,1496422800,1
1496491200,partly-cloudy-day,0.32,Mostly cloudy throughout the day.,1496492141,1496548950,0.69,48.57,0.7,0,0,0,1017.38,63.97,1496534400,54.65,1496556000,7.06,6.38,1496534400,0.64
1496577600,partly-cloudy-day,0.36,Mostly cloudy throughout the day.,1496578511,1496635400,0.75,45.68,0.66,0,0,0,1019.62,65.07,1496617200,52.18,1496581200,9.85,6.88,1496620800,0.63
1496664000,clear-day,0.39,Clear throughout the day.,1496664883,1496721849,0.03,45.53,0.63,0,0,0,1020.71,71.41,1496707200,46.06,1496667600,9.91,9.25,1496696400,1.45
1496750400,clear-day,0.42,Clear throughout the day.,1496751257,1496808295,0.05,48.32,0.54,0,0,0,1014.22,83.32,1496793600,51.93,1496754000,10,7.17,1496786400,0.99
1496836800,rain,0.45,Light rain overnight.,1496837635,1496894740,0.32,49.84,0.55,0,0,0,1008.63,78.82,1496876400,55.94,1496840400,9.82,6.96,1496876400,0.9
1496923200,rain,0.47,Light rain until afternoon.,1496924014,1496981182,0.92,51.13,0.79,0.011,0.0482,1,1008.2,62.21,1496959200,54.42,1496988000,6.89,13.63,1496962800,2.21
1497009600,partly-cloudy-day,0.51,Mostly cloudy throughout the day.,1497010396,1497067623,0.89,46.94,0.74,0.0006,0.0041,0.29,1012.02,61.33,1497038400,50.51,1497013200,7.03,7.97,1497056400,1.44
1497096000,partly-cloudy-day,0.54,Partly cloudy throughout the day.,1497096781,1497154061,0.59,46.31,0.7,0,0,0,1011.62,64.53,1497135600,48.28,1497099600,5.57,8.4,1497142800,0.74
