Moonphase,Sunrise,Sunset,cloudCover,dewPoint,humidity,precipIntensity,precipIntensityMax,precipProbability,pressure,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,visibility,windGust,windGustTime,windSpeed
0.6935714285714286,1530800540.0,1530834564.5714285,0.35571428571428576,12.435,0.46499999999999997,1.4285714285714287e-05,0.0002,0.019285714285714288,1019.2814285714286,48.13357142857143,1530823371.4285715,21.792142857142853,1530796885.7142856,3.4692857142857143,10.164285714285715,1530815142.857143,1.3678571428571424
0.49428571428571433,1531405294.7142856,1531439762.9285715,0.41071428571428586,20.14428571428571,0.5178571428571428,0.0005,0.0022571428571428573,0.11499999999999999,1018.267142857143,49.88785714285715,1531425857.142857,28.985714285714288,1531416085.7142856,3.4542857142857146,12.55642857142857,1531424057.142857,1.240714285714286
0.35571428571428576,1532009946.142857,1532045013.7857144,0.4128571428571428,16.165000000000003,0.48500000000000004,0.00013571428571428572,0.001635714285714286,0.0842857142857143,1018.2849999999999,48.99428571428571,1532023457.142857,25.81642857142857,1532018314.2857144,3.245714285714285,11.552857142857146,1532025000.0,1.7635714285714283
0.46071428571428574,1532614499.0,1532650299.0714285,0.39214285714285724,12.500714285714283,0.4307142857142857,0.00022857142857142854,0.0016357142857142857,0.07142857142857142,1018.4314285714287,44.40142857142858,1532636485.7142856,24.447857142857146,1532629800.0,3.4135714285714287,17.385714285714286,1532633400.0,2.3721428571428573
0.7107142857142856,1533218961.0,1533255601.7142856,0.4078571428571428,16.91857142857143,0.48,3.571428571428572e-05,0.00026428571428571424,0.017142857142857144,1014.9650000000003,50.42285714285714,1533233571.4285715,26.439285714285713,1533225600.0,3.2628571428571433,13.959999999999999,1533238200.0,1.6385714285714283
0.43500000000000005,1533823341.142857,1533860907.4285715,0.4957142857142857,14.924285714285716,0.5885714285714287,0.00017857142857142857,0.0014214285714285715,0.06285714285714286,1015.1371428571426,42.09142857142857,1533840428.5714285,18.446428571428573,1533835028.5714285,3.0528571428571425,13.395,1533842485.7142856,1.445714285714286
0.4442857142857143,1534427649.357143,1534466205.9285715,0.42,14.804285714285715,0.45142857142857146,4.2857142857142856e-05,0.00043571428571428575,0.03,1010.2449999999999,49.24571428571428,1534450371.4285715,25.232857142857142,1534439828.5714285,3.775,16.399285714285714,1534454228.5714285,1.572142857142857
0.40857142857142853,1535031896.857143,1535071490.2857144,0.5664285714285715,9.020714285714286,0.6185714285714285,0.00027857142857142854,0.0024642857142857144,0.0842857142857143,1015.9785714285712,30.085714285714282,1535056200.0,13.921428571428573,1535032285.7142856,4.012142857142857,13.167857142857144,1535049000.0,2.0592857142857146
0.6557142857142857,1535636094.857143,1535676757.0714285,0.44642857142857145,14.994285714285713,0.49142857142857144,1.4285714285714287e-05,0.00012857142857142858,0.015,1013.4335714285714,49.254999999999995,1535661257.142857,23.812142857142852,1535638885.7142856,5.015,12.391428571428571,1535657657.142857,1.8157142857142858
0.5257142857142857,1536240255.357143,1536282006.7857144,0.34571428571428575,13.203571428571426,0.44142857142857145,6.428571428571429e-05,0.0006714285714285713,0.04357142857142857,1016.1021428571427,47.462857142857146,1536270428.5714285,24.679285714285715,1536243942.857143,3.645,15.172857142857142,1536266571.4285715,1.8535714285714282
0.46285714285714274,1536844393.0714285,1536887238.5714285,0.4128571428571428,21.10571428571428,0.48571428571428565,0.0009714285714285712,0.007428571428571428,0.1857142857142857,1013.3607142857143,53.451428571428565,1536871371.4285715,30.158571428571435,1536849514.2857144,3.7864285714285706,16.95714285714286,1536869314.2857144,2.577142857142857
0.3557142857142857,1537448513.4285715,1537492462.9285715,0.4692857142857143,24.791428571428572,0.4814285714285715,0.0006285714285714286,0.0041,0.06857142857142857,1015.172857142857,56.386428571428574,1537476942.857143,34.69714285714286,1537459971.4285715,3.672857142857143,15.582142857142857,1537478228.5714285,2.0464285714285713
0.6050000000000002,1538052631.642857,1538097681.142857,0.61,27.63714285714286,0.5985714285714285,0.0014285714285714286,0.009735714285714287,0.2921428571428572,1017.0349999999999,54.509999999999984,1538084314.2857144,33.09285714285714,1538067085.7142856,3.652142857142857,14.519285714285713,1538083800.0,1.6628571428571426
0.6114285714285713,1538656759.2857144,1538702898.142857,0.5371428571428571,23.715000000000003,0.41357142857142853,9.285714285714286e-05,0.0011142857142857141,0.075,1010.705,62.30642857142857,1538686542.857143,37.71642857142857,1538663657.142857,5.832142857142857,15.208571428571428,1538685000.0,1.4064285714285716
0.5521428571428572,1539260907.2142856,1539308117.2142856,0.5914285714285714,24.017142857142858,0.46428571428571436,0.00041428571428571426,0.0036857142857142857,0.19357142857142856,1010.2892857142859,61.59071428571429,1539288771.4285715,36.16428571428572,1539269228.5714285,5.028571428571429,16.284285714285712,1539282600.0,2.5099999999999993
0.305,1539865086.7142856,1539913340.0714285,0.44214285714285706,27.474285714285713,0.4257142857142857,0.0009857142857142857,0.006657142857142857,0.18999999999999997,1011.9207142857143,65.36928571428572,1539899485.7142856,40.74285714285714,1539878400.0,4.486428571428571,16.133571428571425,1539894857.142857,2.170714285714286
0.5514285714285714,1540469308.0,1540518566.357143,0.4778571428571428,32.126428571428576,0.4621428571428571,0.0003928571428571428,0.0014357142857142856,0.09571428571428571,1014.4335714285714,68.25214285714286,1540498114.2857144,43.518571428571434,1540479600.0,4.3742857142857146,16.901428571428575,1540490914.2857144,1.882142857142857
