WEEK,price,City
1,181.15438554789637,denver
2,183.64027216543855,denver
3,184.0973377703827,denver
4,183.8488531019729,denver
5,183.66980627525552,denver
6,183.54855003565487,denver
7,184.00775493225575,denver
8,130.4796173044925,denver
9,125.69122890420728,denver
10,127.74803898264797,denver
11,136.05808771095792,denver
12,136.08604706441645,denver
13,130.37788210125981,denver
14,133.55175897314,denver
15,139.14315426669836,denver
16,142.31560494414072,denver
17,136.28443665319705,denver
18,139.74619681483242,denver
19,141.45596624673163,denver
20,141.8825172331828,denver
21,144.59053363441882,denver
22,144.82689565010696,denver
23,147.03090087948658,denver
24,148.79557879724268,denver
25,149.45819467554077,denver
26,150.91214048015212,denver
27,158.18914903731874,denver
28,157.4249762300927,denver
29,160.27570121226526,denver
30,160.38147729973852,denver
31,163.25802234371287,denver
32,167.39146066080343,denver
33,166.66436890896125,denver
34,166.68611837413835,denver
35,169.22412051343,denver
36,166.52195745186594,denver
37,166.17568932731163,denver
38,167.31798193487046,denver
39,165.69137746612788,denver
40,167.8095436177799,denver
41,164.67420370810555,denver
42,163.32588542904682,denver
43,162.89232231994296,denver
44,162.2476527216544,denver
45,162.00103993344425,denver
46,161.20082600427858,denver
47,162.26345971000714,denver
48,163.58759210839077,denver
49,160.1728963632042,denver
50,160.8103755645353,denver
51,161.87491086284763,denver
52,166.11287734727836,denver
